publishedAt,title,source,content,description,urlToImage,author,url,t_score,d_score
2019-02-02T05:13:00Z,Musk makes all Tesla patents public to ‘fight climate change’ - ETAuto.com,"{'id': 'the-times-of-india', 'name': 'The Times of India'}","SAN FRANCISCO : Elon Musk announced on Thursday that he had released all of the electric carmaker Teslas patents, as part of an effort to fight climate change. In a blog post, the billionaire founder of Tesla promised the company will not initiate patent laws… [+1591 chars]","The billionaire founder of Tesla promised the company “will not initiate patent lawsuits against anyone who, in good faith, wants to use our technology”. It is a remarkable move in an industry where the smallest idea or seed of invention is carefully guarded …","https://etimg.etb2bimg.com/thumb/msid-67803624,imgsize-52778,width-800,height-434,overlay-etauto/musk-makes-all-tesla-patents-public-to-fight-climate-change.jpg",ET Auto,https://auto.economictimes.indiatimes.com/news/industry/musk-makes-all-tesla-patents-public-to-fight-climate-change/67803624,-0.5012701360777916,0.7226542420881851
2019-02-02T04:43:00Z,Tesla Model 3 tops list of vehicles that ‘bring the most joy’ - Electrek,"{'id': None, 'name': 'Electrek.co'}","Tesla Model 3 is topping many lists these days like best-selling all-electric vehicles, best value retention, best-selling premium vehicles in the US, but now it is adding another one to the list: the vehicle that ‘brings the most joy’. Consumer Reports relea… [+1896 chars]","Tesla Model 3 is topping many lists these days like best-selling all-electric vehicles, best value retention, best-selling premium vehicles in the US, but now it is adding another one to the list: …",https://electrek.co/wp-content/uploads/sites/3/2018/11/Model-3-Performance-Red-Front-Motion-SF-Skyline-e1538058962929.jpg?quality=82&strip=all&w=1600,,https://electrek.co/2019/02/01/tesla-model-3-tops-satisfaction-brings-joy/,0.6652747926962735,0.500340471550305
2019-02-02T04:21:58Z,Tesla Model 3 = Most Loved Car In USA - CleanTechnica,"{'id': None, 'name': 'Cleantechnica.com'}","Cars Published on February 1st, 2019 | by Zachary Shahan 0 February 1st, 2019 by Zachary Shahan For many years, Consumer Reports has conducted surveys of car owners. A key metric it uncovers is how satisfied owners are with their cars. The Tesla Model S rose … [+2599 chars]",Hot news off the press (and found on Twitter thanks to Earl of Frunkpuppy) is that the Tesla Model 3 is now the most loved car in the US according to these owner surveys,https://cleantechnica.com/files/2019/02/Tesla-Model-3-most-loved-car-Consumer-Reports-570x760.jpg,https://www.facebook.com/zachary.shahan,https://cleantechnica.com/2019/02/01/tesla-model-3-most-loved-car-in-usa/,0.6364712525329228,0.753796875346169
2019-02-01T22:06:04Z,Tesla pudiera presentar su nueva pickup eléctrica este verano - La Opinión,"{'id': None, 'name': 'Laopinion.com'}","¿Quieres una camioneta pickup que no contamine? Para nuestra mala suerte, aún no existe ninguna pero pronto habrá variedad de donde escoger. Muchas compañías han lanzado varios modelos de autos eléctricos estilo sedán y SUV, pero nadie ha oficialmente puesto … [+1758 chars]",¿Las promesas del CEO de Tesla se volverán una realidad?,https://laopinionla.files.wordpress.com/2018/06/screen-shot-2018-06-27-at-15-22-11-e1530131090326.png?w=664,Ariel T. Rodríguez,https://laopinion.com/2019/02/01/tesla-pudiera-presentar-su-nueva-pickup-electrica-este-verano/,0.5319429485007581,0.6161382672226141
2019-02-01T21:13:38Z,Avslørt: Dette er «Tesla-dreperen» - Avisa Nordland,"{'id': None, 'name': 'Www.an.no'}","Volkswagens nye «skateboard» skal være selskapets Tesla-dreper. (NA24:) Volkswagen produserer over 10 millioner biler i året, og kniver om bilgigant-tronen mot Toyota. Lenge har tyskerne sett Tesla komme opp og frem i det elbilmarkedet. Men nå skal de sette e… [+2419 chars]","Volkswagens nye «skateboard» skal være selskapets Tesla-dreper.(NA24:) Volkswagen produserer over 10 millioner biler i året, og kniver om bilgigant-tronen mot Toyota.Lenge har tyskerne sett Tesla…",https://g.acdn.no/obscura/API/dynamic/r1/ece5/tr_959_539_l_f/0000/avno/2019/2/1/21/6257725.jpg?chk=4CF120,,https://www.an.no/bil/nyheter/motor/avslort-dette-er-tesla-dreperen/s/5-4-952234,-0.5207402850990362,0.3451974279404522
2019-02-01T17:32:12Z,"Musk shows off the latest power plant for Starship, replaces Tesla CFO with a millennial - The Register","{'id': None, 'name': 'Theregister.co.uk'}",SpaceX supremo Elon Musk has announced that the company is about to fire up the latest iteration of the engine destined for its huge boosters. Musk helpfully included an image of the power plant with a human in the background to give an idea of size. Preparin… [+2989 chars],Here comes Ahuja again... BOING! ...and he's out of there,https://regmedia.co.uk/2015/08/03/ejector_seat_action.jpg,Richard Speed,https://www.theregister.co.uk/2019/02/01/spacex_raptor_powerplant_tesla_cfo/,0.4782337057193188,-0.6120795289670754
2019-02-01T15:45:00Z,"Nem ment jól a Tesla szekere, egymilliárd dollártól estek el - hvg.hu","{'id': None, 'name': 'Hvg.hu'}","A piaci várakozásnál kisebb negyedéves nyereségrl számolt be a Tesla Inc. amerikai elektromosautó-gyártó vállalat a szerdai tzsdei zárás után. A decemberrel lezárt három hónapban a Tesla a 7,08 milliárd dolláros elemzi várakozásoknál magasabb, 7,23 milliárd d… [+1729 chars]",A piaci várakozásnál kisebb negyedéves nyereségről számolt be a Tesla Inc. amerikai elektromosautó-gyártó vállalat a szerdai tőzsdei zárás után.,https://images.hvg.hu/image.aspx?id=97003df5-3d43-492e-93eb-6defaffd19b5&view=7fcefbf8-ac48-4ee6-aef5-32203afa118c,HVG Kiadó Zrt.,https://hvg.hu/cegauto/20190201_Nem_ment_jol_a_Tesla_szekere_egymilliard_dollartol_estek_el,0.5555706201951071,-0.5056165003108614
2019-02-01T14:06:17Z,"Tesla je stále zisková, zrychluje výrobu a zvyšuje marže - Živě.cz","{'id': None, 'name': 'Zive.cz'}","Tesla v minulém tvrtletí zvládla dleitý vývojový bod, kdy Elon Musk splnil své sliby a Tesla byla poprvé v zisku a výroba levného elektromobilu Model 3 se rozjela v pouitelných objemech. Nyní Tesla zveejnila finanní výsledky za dalí tvrtletí, v tomto pípad tv… [+5898 chars]",Tesla se další čtvrtletí dokázala udržet v černých číslech • Tento rok plánuje zvýšit výrobu na maximální kapacitu • Velká očekávání jsou od vstupu do Evropy a výroby v Číně,https://www.zive.cz/getthumbnail.aspx?q=100&height=20000&width=20000&id_file=66552738,Karel Javůrek,https://connect.zive.cz/clanky/tesla-je-stale-ziskova-zrychluje-vyrobu-a-zvysuje-marze/sc-320-a-197009/default.aspx,0.5026942510987068,0.6029922015732634
2019-02-01T14:04:15Z,Elon Musk relembra em seu Twitter que as patentes da Tesla são abertas para todos - Mundo Conectado,"{'id': None, 'name': 'Mundoconectado.com.br'}","Elon Musk, CEO da Tesla, relembrou em seu Twitter que todas as patentes da empresa de carros elétricos são abertas. Isso significa que todos os desenvolvedores que tenham a intenção de construir carros elétricos próprios, ou para revender, podem usar das linh… [+1808 chars]","Elon Musk, CEO da Tesla, relembrou em seu Twitter que todas as patentes da empresa de carros elétricos são abertas. Isso significa que todos os des...",https://mundoconectado.com.br/uploads/chamadas/tesla_codigo_abertojpg.jpg,,https://mundoconectado.com.br/noticias/v/8218/elon-musk-relembra-em-seu-twitter-que-as-patentes-da-tesla-sao-abertas-para-todos,0.6340228554344534,0.6528246774128699
2019-02-01T13:50:00Z,Elon Musk libera todas las patentes de autos eléctricos de Tesla para ayudar al planeta - LARED21,"{'id': None, 'name': 'Lr21.com.uy'}","Elon Musk, fundador de Tesla. Foto: Dan Taylor / Heisenberg Media El dueño y fundador de la compañía de autos eléctricos Tesla, Elon Musk, anunció el jueves que liberó todas las patentes de fabricación, como parte de un esfuerzo para combatir el cambio climát… [+2171 chars]","Con el fin de hacer más accesibles los autos eléctricos, el CEO de Tesla publicó todas las patentes de sus autos eléctricos para cualquiera que desee fabricarlos a fin de dejar de usar petróleo.",http://www.lr21.com.uy/wp-content/uploads/2019/02/tesla-model-S-728x368.jpg,LARED21,http://www.lr21.com.uy/ecologia/1391361-elon-musk-patentes-tesla-autos-electricos-libres-codigo-abierto,0.6350148588014727,0.6394127320388947
